variable,pearson_r,spearman_r
uso_actual,0.2847840400188185,0.320798861123665
aspecto,-0.269358108721827,-0.2766629388003319
elevacion,-0.166094432240081,-0.1760720516016436
cobertura,0.03557067780222953,0.1654548014373423
geomorfologia,-0.15545966589238894,-0.1534685506356112
pendiente,-0.13433031487303843,-0.1373266365853329
curvatura,0.10920844217747612,0.07661857659973452
dist_drenajes,0.04421887395350032,0.04260450963724116
flujo_acum,-0.01620106634986411,0.028778435727052014
geologia,0.02213026288341598,-0.028049126003128647
