,pendiente,aspecto,curvatura,flujo_acum,elevacion,dist_drenajes,cobertura,uso_actual,geologia,geomorfologia,inventario
pendiente,1.0,0.15790814302130796,0.15992930851013012,-0.12286863797939122,0.09691693686402407,-0.09976251844474653,-0.07366773521109471,-0.09891882395387762,-0.1657196288966739,0.09185739850895401,-0.13433031487303843
aspecto,0.15790814302130796,1.0,-0.08034875330508555,-0.056262880400503736,0.16908590290690284,0.07987251887937828,-0.019047576647232167,-0.12306183893043046,-0.10596874392312815,0.0633095369614843,-0.269358108721827
curvatura,0.15992930851013012,-0.08034875330508555,1.0,-0.1388544226593382,-0.04326495784597632,-0.06531213067405973,-0.06743029678440908,-0.03287883352626809,-0.12156876399532711,-0.03392276239997057,0.10920844217747612
flujo_acum,-0.12286863797939122,-0.056262880400503736,-0.1388544226593382,1.0,0.012248339928616373,-0.09895284250907867,0.021284992598013017,0.038179156347325695,0.06364213577478364,0.09120669875832002,-0.01620106634986411
elevacion,0.09691693686402407,0.16908590290690284,-0.04326495784597632,0.012248339928616373,1.0,0.14320409356153213,-0.1474202926704447,-0.2428697612389863,0.4103594831139144,0.3641377086572255,-0.166094432240081
dist_drenajes,-0.09976251844474653,0.07987251887937828,-0.06531213067405973,-0.09895284250907867,0.14320409356153213,1.0,-0.14288846430178628,-0.0108970415528149,-0.08420688313271736,-0.0027183670793764505,0.04421887395350032
cobertura,-0.07366773521109471,-0.019047576647232167,-0.06743029678440908,0.021284992598013017,-0.1474202926704447,-0.14288846430178628,1.0,0.46444889563777575,0.11362426115811779,0.037015842147708714,0.03557067780222953
uso_actual,-0.09891882395387762,-0.12306183893043046,-0.03287883352626809,0.038179156347325695,-0.2428697612389863,-0.0108970415528149,0.46444889563777575,1.0,0.05212033325131028,-0.014512598252328264,0.2847840400188185
geologia,-0.1657196288966739,-0.10596874392312815,-0.12156876399532711,0.06364213577478364,0.4103594831139144,-0.08420688313271736,0.11362426115811779,0.05212033325131028,1.0,0.4845503330722341,0.02213026288341598
geomorfologia,0.09185739850895401,0.0633095369614843,-0.03392276239997057,0.09120669875832002,0.3641377086572255,-0.0027183670793764505,0.037015842147708714,-0.014512598252328264,0.4845503330722341,1.0,-0.15545966589238894
inventario,-0.13433031487303843,-0.269358108721827,0.10920844217747612,-0.01620106634986411,-0.166094432240081,0.04421887395350032,0.03557067780222953,0.2847840400188185,0.02213026288341598,-0.15545966589238894,1.0
