,pendiente,aspecto,curvatura,flujo_acum,elevacion,dist_drenajes,cobertura,uso_actual,geologia,geomorfologia,inventario
pendiente,1.0,0.1778873896544837,0.05947346714255859,0.033997187895419244,0.1012970389873526,-0.05121834550677608,-0.03026811189458276,-0.07930201194306578,-0.12149277743107557,0.10185797822495572,-0.1373266365853329
aspecto,0.1778873896544837,1.0,-0.0477173467782197,0.06900322168420926,0.19893692258425644,0.07376121071830369,-0.0548426018392194,-0.16132968111195575,0.02901030416869803,0.13369955701043865,-0.2766629388003319
curvatura,0.05947346714255859,-0.0477173467782197,1.0,-0.5425834370644007,-0.030472691154845896,-0.0024889638299613374,-0.09177185781131621,-0.07346883762867759,-0.13343924656789147,-0.009224592805406252,0.07661857659973452
flujo_acum,0.033997187895419244,0.06900322168420926,-0.5425834370644007,1.0,0.08277779072592896,-0.029828638727868693,0.11959683262959224,0.09067905674677566,0.0780890098067659,0.03803868716000248,0.028778435727052014
elevacion,0.1012970389873526,0.19893692258425644,-0.030472691154845896,0.08277779072592896,1.0,0.18841807350018422,-0.1943349825309462,-0.17978147719732268,0.4885624210703895,0.3689455815805241,-0.1760720516016436
dist_drenajes,-0.05121834550677608,0.07376121071830369,-0.0024889638299613374,-0.029828638727868693,0.18841807350018422,1.0,-0.1548681868979511,-0.050774013958306136,-0.03308723728940017,0.0147366097614873,0.04260450963724116
cobertura,-0.03026811189458276,-0.0548426018392194,-0.09177185781131621,0.11959683262959224,-0.1943349825309462,-0.1548681868979511,1.0,0.49181801163309236,0.025041326734137354,0.01869418660612486,0.1654548014373423
uso_actual,-0.07930201194306578,-0.16132968111195575,-0.07346883762867759,0.09067905674677566,-0.17978147719732268,-0.050774013958306136,0.49181801163309236,1.0,0.04835841739325542,0.035148958544426095,0.320798861123665
geologia,-0.12149277743107557,0.02901030416869803,-0.13343924656789147,0.0780890098067659,0.4885624210703895,-0.03308723728940017,0.025041326734137354,0.04835841739325542,1.0,0.519313019292445,-0.028049126003128647
geomorfologia,0.10185797822495572,0.13369955701043865,-0.009224592805406252,0.03803868716000248,0.3689455815805241,0.0147366097614873,0.01869418660612486,0.035148958544426095,0.519313019292445,1.0,-0.1534685506356112
inventario,-0.1373266365853329,-0.2766629388003319,0.07661857659973452,0.028778435727052014,-0.1760720516016436,0.04260450963724116,0.1654548014373423,0.320798861123665,-0.028049126003128647,-0.1534685506356112,1.0
