rank,variable,tipo,auc_score,p_value_min,significativa
1,cobertura,categórica,1.0,1.704778495627356e-08,True
2,uso_actual,categórica,1.0,1.2273974946490806e-09,True
3,geologia,categórica,0.9545454545454546,5.582982536164444e-09,True
4,geomorfologia,categórica,0.9411764705882353,6.066603077259308e-08,True
5,pendiente,numérica,0.42071533203125,0.02837326533783989,True
6,elevacion,numérica,0.398345947265625,0.004941832433686197,True
7,aspecto,numérica,0.34027099609375,1.0002990627772121e-05,True
8,curvatura,numérica,0.5440673828125,0.08115842690744837,False
9,dist_drenajes,numérica,0.52459716796875,0.48119352732394693,False
10,flujo_acum,numérica,0.51654052734375,0.6464446738365914,False
