umbral,TP,FP,TN,FN,TPR,FPR
0.7569402009999999,0,0,128,128,0.0,0.0
0.7569402,1,0,128,127,0.0078125,0.0
0.7413101999999999,2,0,128,126,0.015625,0.0
0.730011,2,1,127,126,0.015625,0.0078125
0.7267901999999999,3,1,127,125,0.0234375,0.0078125
0.7127802,4,1,127,124,0.03125,0.0078125
0.7111601999999999,5,1,127,123,0.0390625,0.0078125
0.70835856,6,1,127,122,0.046875,0.0078125
0.7047102,7,1,127,121,0.0546875,0.0078125
0.6971501999999999,8,1,127,120,0.0625,0.0078125
0.6968909999999999,9,1,127,119,0.0703125,0.0078125
0.69666631,9,2,126,119,0.0703125,0.015625
0.6934616,10,2,126,118,0.078125,0.015625
0.690441,11,2,126,117,0.0859375,0.015625
0.6866234499999998,11,3,125,117,0.0859375,0.0234375
0.6828809999999998,11,4,124,117,0.0859375,0.03125
0.66878856,12,4,124,116,0.09375,0.03125
0.66122856,12,5,123,116,0.09375,0.0390625
0.6537497099999999,12,6,122,116,0.09375,0.046875
0.6530741699999999,12,7,121,116,0.09375,0.0546875
0.6497904200000001,13,7,121,115,0.1015625,0.0546875
0.6495428,14,7,121,114,0.109375,0.0546875
0.6493015999999999,16,7,121,112,0.125,0.0546875
0.6465401999999999,19,7,121,109,0.1484375,0.0546875
0.6384702,21,7,121,107,0.1640625,0.0546875
0.6325301999999999,23,7,121,105,0.1796875,0.0546875
0.6322709999999999,24,7,121,104,0.1875,0.0546875
0.6281085599999999,24,8,120,104,0.1875,0.0625
0.6274301999999999,25,8,120,103,0.1953125,0.0625
0.6244601999999999,26,8,120,102,0.203125,0.0625
0.62126042,27,8,120,101,0.2109375,0.0625
0.613161,28,8,120,100,0.21875,0.0625
0.6077902,30,8,120,98,0.234375,0.0625
0.6018502,32,8,120,96,0.25,0.0625
0.5994102,34,8,120,94,0.265625,0.0625
0.5916209199999999,34,9,119,94,0.265625,0.0703125
0.5913401999999999,35,9,119,93,0.2734375,0.0703125
0.5869180599999999,36,9,119,92,0.28125,0.0703125
0.5844558899999999,36,10,118,92,0.28125,0.078125
0.57841146,36,11,117,92,0.28125,0.0859375
0.57454185,36,12,116,92,0.28125,0.09375
0.5743656199999999,37,12,116,91,0.2890625,0.09375
0.5700570899999999,38,12,116,90,0.296875,0.09375
0.56954042,40,12,116,88,0.3125,0.09375
0.56639185,41,12,116,87,0.3203125,0.09375
0.5606928,42,12,116,86,0.328125,0.09375
0.5601361300000001,42,13,115,86,0.328125,0.1015625
0.55794988,42,14,114,86,0.328125,0.109375
0.5568172800000001,42,15,113,86,0.328125,0.1171875
0.5547108499999999,42,16,112,86,0.328125,0.125
0.5497868399999999,42,17,111,86,0.328125,0.1328125
0.54421562,43,17,111,85,0.3359375,0.1328125
0.54318197,44,17,111,84,0.34375,0.1328125
0.54213266,44,18,110,84,0.34375,0.140625
0.54171684,45,18,110,83,0.3515625,0.140625
0.54042522,45,19,109,83,0.3515625,0.1484375
0.53892146,46,19,109,82,0.359375,0.1484375
0.53736546,47,19,109,81,0.3671875,0.1484375
0.5362660499999999,47,20,108,81,0.3671875,0.15625
0.5358820599999999,48,20,108,80,0.375,0.15625
0.53487562,49,20,108,79,0.3828125,0.15625
0.5347951700000001,49,21,107,79,0.3828125,0.1640625
0.5345726599999999,49,22,106,79,0.3828125,0.171875
0.53294042,50,22,106,78,0.390625,0.171875
0.53205169,50,23,105,78,0.390625,0.1796875
0.5302056199999999,51,23,105,77,0.3984375,0.1796875
0.5301883199999999,51,24,104,77,0.3984375,0.1875
0.5295659599999999,52,24,104,76,0.40625,0.1875
0.5281541700000001,53,24,104,75,0.4140625,0.1875
0.52803822,54,24,104,74,0.421875,0.1875
0.5264094699999999,55,24,104,73,0.4296875,0.1875
0.52547665,56,24,104,72,0.4375,0.1875
0.52497546,57,24,104,71,0.4453125,0.1875
0.5246658899999999,57,25,103,71,0.4453125,0.1953125
0.52343947,57,26,102,71,0.4453125,0.203125
0.5216918199999999,58,26,102,70,0.453125,0.203125
0.52157546,59,26,102,69,0.4609375,0.203125
0.52026049,59,27,101,69,0.4609375,0.2109375
0.5195658899999999,59,28,100,69,0.4609375,0.21875
0.5194695199999999,59,29,99,69,0.4609375,0.2265625
0.51899049,59,30,98,69,0.4609375,0.234375
0.5188228599999999,59,31,97,69,0.4609375,0.2421875
0.51729504,59,32,96,69,0.4609375,0.25
0.5169054599999999,60,32,96,68,0.46875,0.25
0.5137690199999999,61,32,96,67,0.4765625,0.25
0.5136060499999999,61,33,95,67,0.4765625,0.2578125
0.5135301999999999,63,33,95,65,0.4921875,0.2578125
0.5125121399999999,63,34,94,65,0.4921875,0.265625
0.51143049,64,34,94,64,0.5,0.265625
0.51092049,64,35,93,64,0.5,0.2734375
0.51062522,66,35,93,62,0.515625,0.2734375
0.51055085,67,35,93,61,0.5234375,0.2734375
0.5085968399999999,67,36,92,61,0.5234375,0.28125
0.50816621,67,37,91,61,0.5234375,0.2890625
0.50812562,68,37,91,60,0.53125,0.2890625
0.5059582199999999,70,37,91,58,0.546875,0.2890625
0.50458684,70,38,90,58,0.546875,0.296875
0.50419562,71,38,90,57,0.5546875,0.296875
0.50328504,71,39,89,57,0.5546875,0.3046875
0.50255522,71,40,88,57,0.5546875,0.3125
0.5024901999999999,72,40,88,56,0.5625,0.3125
0.50145266,72,41,87,56,0.5625,0.3203125
0.50038832,73,41,87,55,0.5703125,0.3203125
0.49983727999999994,73,42,86,55,0.5703125,0.328125
0.49921406000000007,73,43,85,55,0.5703125,0.3359375
0.49819019999999997,73,45,83,55,0.5703125,0.3515625
0.49720621000000004,73,46,82,55,0.5703125,0.359375
0.4971816,74,46,82,54,0.578125,0.359375
0.49685041999999996,76,46,82,52,0.59375,0.359375
0.49654085000000003,76,47,81,52,0.59375,0.3671875
0.49650360999999993,76,48,80,52,0.59375,0.375
0.49638146,76,49,79,52,0.59375,0.3828125
0.49532665,77,49,79,51,0.6015625,0.3828125
0.49442020000000003,78,49,79,50,0.609375,0.3828125
0.4916185599999999,79,49,79,49,0.6171875,0.3828125
0.49157406000000003,79,50,78,49,0.6171875,0.390625
0.48927504,79,51,77,49,0.6171875,0.3984375
0.48878041999999994,80,51,77,48,0.625,0.3984375
0.48847084999999996,80,52,76,48,0.625,0.40625
0.48806589,80,53,75,48,0.625,0.4140625
0.48637832000000003,81,53,75,47,0.6328125,0.4140625
0.48544745000000006,82,53,75,46,0.640625,0.4140625
0.48515073999999997,83,53,75,45,0.6484375,0.4140625
0.48290049,84,53,75,44,0.65625,0.4140625
0.48173492,84,54,74,44,0.65625,0.421875
0.47801621,84,55,73,44,0.65625,0.4296875
0.47700605,84,56,72,44,0.65625,0.4375
0.47589266,84,57,71,44,0.65625,0.4453125
0.47579492000000007,84,58,70,44,0.65625,0.453125
0.47477041999999997,86,58,70,42,0.671875,0.453125
0.4739359,87,58,70,41,0.6796875,0.453125
0.47348361,87,59,69,41,0.6796875,0.4609375
0.47141352000000003,87,60,68,41,0.6796875,0.46875
0.46766073999999996,88,60,68,40,0.6875,0.46875
0.46623146000000004,89,60,68,39,0.6953125,0.46875
0.46379503999999994,89,61,67,39,0.6953125,0.4765625
0.46199807,89,63,65,39,0.6953125,0.4921875
0.46060605,90,63,65,38,0.703125,0.4921875
0.4601923299999999,90,64,64,38,0.703125,0.5
0.4599702,91,64,64,37,0.7109375,0.5
0.4596309799999999,92,64,64,36,0.71875,0.5
0.45912503999999993,92,65,63,36,0.71875,0.5078125
0.45781952,93,65,63,35,0.7265625,0.5078125
0.45622832,93,66,62,35,0.7265625,0.515625
0.45454933999999986,93,67,61,35,0.7265625,0.5234375
0.4533884899999999,93,68,60,35,0.7265625,0.53125
0.45320709,94,68,60,34,0.734375,0.53125
0.4531571299999999,94,69,59,34,0.734375,0.5390625
0.45276264999999993,94,70,58,34,0.734375,0.546875
0.45275048999999995,94,71,57,34,0.734375,0.5546875
0.45140361,94,72,56,34,0.734375,0.5625
0.45074947,95,72,56,33,0.7421875,0.5625
0.44890084999999996,95,73,55,33,0.7421875,0.5703125
0.44854395999999996,96,73,55,32,0.75,0.5703125
0.44659605,97,73,55,31,0.7578125,0.5703125
0.44584925,98,73,55,30,0.765625,0.5703125
0.44558074,99,73,55,29,0.7734375,0.5703125
0.44495185,100,73,55,28,0.78125,0.5703125
0.44468049,101,73,55,27,0.7890625,0.5703125
0.44341049,101,74,54,27,0.7890625,0.578125
0.44288146000000006,101,75,53,27,0.7890625,0.5859375
0.44149605000000003,102,75,53,26,0.796875,0.5859375
0.44091604999999995,103,75,53,25,0.8046875,0.5859375
0.43956085,103,76,52,25,0.8046875,0.59375
0.43948146,103,77,51,25,0.8046875,0.6015625
0.43918413999999995,103,78,50,25,0.8046875,0.609375
0.43874049,103,79,49,25,0.8046875,0.6171875
0.43454074,104,79,49,24,0.8125,0.6171875
0.43261464999999993,104,80,48,24,0.8125,0.625
0.43084561999999993,105,80,48,23,0.8203125,0.625
0.43037569,105,81,47,23,0.8203125,0.6328125
0.42936347999999996,105,82,46,23,0.8203125,0.640625
0.42879417000000003,106,82,46,22,0.828125,0.640625
0.42830406,106,83,45,22,0.828125,0.6484375
0.42805546,107,83,45,21,0.8359375,0.6484375
0.42795042,108,83,45,20,0.84375,0.6484375
0.42616351999999996,108,85,43,20,0.84375,0.6640625
0.42409266,109,85,43,19,0.8515625,0.6640625
0.42377807,109,86,42,19,0.8515625,0.671875
0.42216406999999995,109,87,41,19,0.8515625,0.6796875
0.42160184999999994,109,88,40,19,0.8515625,0.6875
0.42091562,110,88,40,18,0.859375,0.6875
0.42080352000000004,111,88,40,17,0.8671875,0.6875
0.42076308999999995,111,89,39,17,0.8671875,0.6953125
0.41910146,111,90,38,17,0.8671875,0.703125
0.41840848999999997,112,90,38,16,0.875,0.703125
0.41796665,112,91,37,16,0.875,0.7109375
0.41783807,113,91,37,15,0.8828125,0.7109375
0.41613146,113,92,36,15,0.8828125,0.71875
0.41528712999999995,113,93,35,15,0.8828125,0.7265625
0.41478417,113,94,34,15,0.8828125,0.734375
0.41444413999999996,113,95,33,15,0.8828125,0.7421875
0.41404361,113,96,32,15,0.8828125,0.75
0.41252947,113,97,31,15,0.8828125,0.7578125
0.4124607399999999,114,97,31,14,0.890625,0.7578125
0.40955492000000004,115,97,31,13,0.8984375,0.7578125
0.40671212,116,97,31,12,0.90625,0.7578125
0.40658947,117,97,31,11,0.9140625,0.7578125
0.40499232999999996,117,98,30,11,0.9140625,0.765625
0.40043413999999994,117,99,29,11,0.9140625,0.7734375
0.40035480999999995,117,100,28,11,0.9140625,0.78125
0.39999049,118,101,27,10,0.921875,0.7890625
0.39854232999999994,118,102,26,10,0.921875,0.796875
0.39416180999999995,118,103,25,10,0.921875,0.8046875
0.39121684000000007,118,104,24,10,0.921875,0.8125
0.38725048999999995,119,104,24,9,0.9296875,0.8125
0.38314665000000003,119,105,23,9,0.9296875,0.8203125
0.38301146,119,106,22,9,0.9296875,0.828125
0.3803980599999999,119,107,21,9,0.9296875,0.8359375
0.37656361000000005,119,108,20,9,0.9296875,0.84375
0.37494503999999995,119,109,19,9,0.9296875,0.8515625
0.37298066,119,110,18,9,0.9296875,0.859375
0.3728939699999999,120,110,18,8,0.9375,0.859375
0.37270925000000005,120,111,17,8,0.9375,0.8671875
0.37029709000000005,121,111,17,7,0.9453125,0.8671875
0.36991857,121,112,16,7,0.9453125,0.875
0.36970309,121,113,15,7,0.9453125,0.8828125
0.36731414,121,114,14,7,0.9453125,0.890625
0.36580849,121,115,13,7,0.9453125,0.8984375
0.36305712999999995,121,116,12,7,0.9453125,0.90625
0.35583049000000005,122,116,12,6,0.953125,0.90625
0.35456351999999997,123,116,12,5,0.9609375,0.90625
0.35286145999999996,124,116,12,4,0.96875,0.90625
0.35012569,125,116,12,3,0.9765625,0.90625
0.34866073999999997,126,116,12,2,0.984375,0.90625
0.34482665,127,116,12,1,0.9921875,0.90625
0.34452786,127,117,11,1,0.9921875,0.9140625
0.34264085,127,118,10,1,0.9921875,0.921875
0.33883347999999996,127,119,9,1,0.9921875,0.9296875
0.33722832,127,120,8,1,0.9921875,0.9375
0.33503712999999996,127,121,7,1,0.9921875,0.9453125
0.33375049,127,122,6,1,0.9921875,0.953125
0.33299287000000005,127,123,5,1,0.9921875,0.9609375
0.31804048999999995,127,124,4,1,0.9921875,0.96875
0.31125712999999994,127,125,3,1,0.9921875,0.9765625
0.30966947,127,126,2,1,0.9921875,0.984375
0.30447853,127,127,1,1,0.9921875,0.9921875
0.30180352,127,128,0,1,0.9921875,1.0
0.27114309,128,128,0,0,1.0,1.0
0.27114308899999995,128,128,0,0,1.0,1.0
