variable,clase,Npix1_conMenM_enClase,Npix2_conMenM_fueraClase,Npix3_sinMenM_enClase,Npix4_sinMenM_fueraClase,W_positivo,W_negativo,Contraste_C,S_C,Contraste_estudentizado,Significancia,Corregida_log0,Confiable
geomorfologia,1.0,41,86,29706,237371,1.0656,-0.2719,1.3375,0.18988424612573676,7.043764963599664,Significativo (95%),False,True
geologia,2.0,42,85,34871,232206,0.9294,-0.2616,1.191,0.1886987369779372,6.311647969001789,Significativo (95%),False,True
cobertura,11.0,0,127,15,267062,4.9352,-0.0078,4.943,1.0366023475101496,4.7684630580595915,Significativo (95%),True,False
uso_actual,30214.0,0,127,15,267062,4.9352,-0.0078,4.943,1.0366023475101496,4.7684630580595915,Significativo (95%),True,False
uso_actual,30206.0,58,69,70664,196413,0.5459,-0.3028,0.8486,0.1781947690692424,4.762204886442281,Significativo (95%),False,True
cobertura,2.0,58,69,70664,196413,0.5459,-0.3028,0.8486,0.1781947690692424,4.762204886442281,Significativo (95%),False,True
elevacion,1.0,68,59,88829,178248,0.4761,-0.3623,0.8384,0.17796601541090828,4.711011807867958,Significativo (95%),False,True
geomorfologia,16.0,0,127,20,267057,4.6475,-0.0078,4.6553,1.0285318469872442,4.526160287244596,Significativo (95%),True,False
aspecto,2.0,64,63,90655,176422,0.3952,-0.2864,0.6816,0.17752384327607262,3.83948424854696,Significativo (95%),False,True
cobertura,12.0,0,127,68,267009,3.4238,-0.0076,3.4313,1.0112287789086514,3.3931985239810545,Significativo (95%),True,False
uso_actual,30230.0,0,127,68,267009,3.4238,-0.0076,3.4313,1.0112287789086514,3.3931985239810545,Significativo (95%),True,False
curvatura,3.0,49,78,73147,193930,0.3427,-0.1674,0.5101,0.18233898016125683,2.797536761195429,Significativo (95%),False,True
pendiente,3.0,83,44,146452,120625,0.1755,-0.2651,0.4406,0.18652234136848606,2.3621835152153077,Significativo (95%),False,True
geomorfologia,10.0,19,108,25642,241435,0.4436,-0.0611,0.5047,0.2488653825388959,2.0280040351579194,Significativo (95%),False,True
dist_drenajes,1.0,49,78,84959,182118,0.193,-0.1046,0.2976,0.18233468516607396,1.6321634017627538,Marginal / debil,False,True
geomorfologia,15.0,0,127,479,266598,1.4716,-0.006,1.4776,1.0049703723922108,1.4702921007340262,Marginal / debil,True,False
geomorfologia,14.0,0,127,542,266535,1.348,-0.0058,1.3538,1.0048496335525496,1.3472662523782486,Marginal / debil,True,False
cobertura,9.0,2,125,1765,265312,0.8683,-0.0092,0.8776,0.7131411791400272,1.2306118699502009,Marginal / debil,False,True
uso_actual,30212.0,2,125,1765,265312,0.8683,-0.0092,0.8776,0.7131411791400272,1.2306118699502009,Marginal / debil,False,True
cobertura,14.0,0,127,636,266441,1.1881,-0.0055,1.1935,1.0047139373812737,1.187900312312563,Marginal / debil,True,False
geomorfologia,5.0,14,113,22165,244912,0.2839,-0.0302,0.3141,0.28342076180844517,1.108246262538416,Marginal / debil,False,True
cobertura,3.0,1,126,730,266347,1.0581,-0.0052,1.0632,1.0046442780660796,1.058285030047291,Marginal / debil,False,True
aspecto,1.0,19,108,32793,234284,0.1976,-0.0311,0.2286,0.24884855001255865,0.9186310307553057,No significativo,False,True
flujo_acumulado,2.0,15,112,26748,240329,0.1649,-0.0202,0.1851,0.27502142649383055,0.6730384696195744,No significativo,False,True
geomorfologia,11.0,2,125,2795,264282,0.4087,-0.0054,0.414,0.712994786509756,0.5806494070266742,No significativo,False,True
dist_drenajes,3.0,39,88,75849,191228,0.0782,-0.0328,0.1109,0.1924138130535853,0.5763619474092303,No significativo,False,True
geologia,4.0,15,112,28830,238247,0.09,-0.0115,0.1014,0.2750165840649268,0.3687050377153298,No significativo,False,True
cobertura,5.0,5,122,8969,258108,0.159,-0.006,0.165,0.45641219397449156,0.3615153192187098,No significativo,False,True
cobertura,8.0,20,107,39703,227374,0.0577,-0.0104,0.0681,0.24367063722642587,0.27947561009051525,No significativo,False,True
uso_actual,30213.0,20,107,39703,227374,0.0577,-0.0104,0.0681,0.24367063722642587,0.27947561009051525,No significativo,False,True
uso_actual,30207.0,21,106,42521,224556,0.0379,-0.0073,0.0452,0.23891626337812064,0.18918762314838422,No significativo,False,True
geologia,6.0,38,89,79217,187860,0.0087,-0.0037,0.0125,0.19382902567945204,0.06448982527865606,No significativo,False,True
cobertura,4.0,20,107,41791,225286,0.0064,-0.0012,0.0076,0.24366813864726616,0.03118996206148131,No significativo,False,True
geologia,5.0,1,126,2219,264858,-0.0537,0.0004,-0.0541,1.0041867042497967,-0.053874443637865914,No significativo,False,True
uso_actual,30211.0,0,127,2552,264525,-0.2014,0.0018,-0.2031,1.0041263096039443,-0.20226539037714125,No significativo,True,True
cobertura,10.0,0,127,2552,264525,-0.2014,0.0018,-0.2031,1.0041263096039443,-0.20226539037714125,No significativo,True,True
geomorfologia,8.0,0,127,2618,264459,-0.2269,0.002,-0.2289,1.0041213910791424,-0.22796048568788896,No significativo,True,True
geomorfologia,13.0,0,127,3407,263670,-0.4903,0.005,-0.4953,1.0040773484759287,-0.4932886901111823,No significativo,True,True
curvatura,2.0,55,72,122499,144578,-0.0574,0.0462,-0.1036,0.1791250599003541,-0.5783668686985053,No significativo,False,True
cobertura,13.0,1,126,3741,263336,-0.576,0.0062,-0.5822,1.0040954205516373,-0.5798253712581886,No significativo,False,True
pendiente,2.0,22,105,52437,214640,-0.1252,0.0283,-0.1536,0.23452523200255748,-0.6549401899678112,No significativo,False,True
flujo_acumulado,1.0,112,15,240329,26748,-0.0202,0.1649,-0.1851,0.27502142649383055,-0.6730384696195744,No significativo,False,True
cobertura,6.0,1,126,4542,262535,-0.77,0.0092,-0.7793,1.0040719517443046,-0.7761395970141145,No significativo,False,True
geomorfologia,12.0,7,120,20118,246959,-0.3124,0.0216,-0.334,0.3889013141863974,-0.8588297025911216,No significativo,False,True
pendiente,1.0,4,123,12887,254190,-0.4266,0.0175,-0.444,0.5081452675611945,-0.8737658861430415,No significativo,False,True
geomorfologia,7.0,1,126,5474,261603,-0.9567,0.0128,-0.9695,1.0040532915592677,-0.9655861976154599,No significativo,False,True
