variable,clase,Npix1_conMenM_enClase,Npix2_conMenM_fueraClase,Npix3_sinMenM_enClase,Npix4_sinMenM_fueraClase,W_positivo,W_negativo,Contraste_C
pendiente,1.0,4,123,12887,254190,-0.4266,0.0175,-0.444
pendiente,2.0,22,105,52437,214640,-0.1252,0.0283,-0.1536
pendiente,3.0,83,44,146452,120625,0.1755,-0.2651,0.4406
pendiente,4.0,18,109,55301,211776,-0.3791,0.0792,-0.4582
aspecto,1.0,19,108,32793,234284,0.1976,-0.0311,0.2286
aspecto,2.0,64,63,90655,176422,0.3952,-0.2864,0.6816
aspecto,3.0,30,97,83798,183279,-0.2839,0.1071,-0.3909
aspecto,4.0,14,113,59831,207246,-0.7091,0.1368,-0.8459
curvatura,1.0,23,104,71431,195646,-0.3899,0.1114,-0.5013
curvatura,2.0,55,72,122499,144578,-0.0574,0.0462,-0.1036
curvatura,3.0,49,78,73147,193930,0.3427,-0.1674,0.5101
flujo_acumulado,1.0,112,15,240329,26748,-0.0202,0.1649,-0.1851
flujo_acumulado,2.0,15,112,26748,240329,0.1649,-0.0202,0.1851
elevacion,1.0,68,59,88829,178248,0.4761,-0.3623,0.8384
elevacion,2.0,23,104,89284,177793,-0.613,0.2071,-0.8201
elevacion,3.0,36,91,88964,178113,-0.1614,0.0718,-0.2332
dist_drenajes,1.0,49,78,84959,182118,0.193,-0.1046,0.2976
dist_drenajes,2.0,39,88,106269,160808,-0.2591,0.1405,-0.3995
dist_drenajes,3.0,39,88,75849,191228,0.0782,-0.0328,0.1109
cobertura,1.0,17,110,79067,188010,-0.7937,0.2073,-1.0011
cobertura,2.0,58,69,70664,196413,0.5459,-0.3028,0.8486
cobertura,3.0,1,126,730,266347,1.0581,-0.0052,1.0632
cobertura,4.0,20,107,41791,225286,0.0064,-0.0012,0.0076
cobertura,5.0,5,122,8969,258108,0.159,-0.006,0.165
cobertura,6.0,1,126,4542,262535,-0.77,0.0092,-0.7793
cobertura,7.0,2,125,12834,254243,-1.1156,0.0334,-1.149
cobertura,8.0,20,107,39703,227374,0.0577,-0.0104,0.0681
cobertura,9.0,2,125,1765,265312,0.8683,-0.0092,0.8776
cobertura,10.0,0,127,2552,264525,-0.2014,0.0018,-0.2031
cobertura,11.0,0,127,15,267062,4.9352,-0.0078,4.943
cobertura,12.0,0,127,68,267009,3.4238,-0.0076,3.4313
cobertura,13.0,1,126,3741,263336,-0.576,0.0062,-0.5822
cobertura,14.0,0,127,636,266441,1.1881,-0.0055,1.1935
uso_actual,30202.0,8,119,26345,240732,-0.4485,0.0388,-0.4873
uso_actual,30204.0,18,109,83444,183633,-0.7905,0.2218,-1.0122
uso_actual,30206.0,58,69,70664,196413,0.5459,-0.3028,0.8486
uso_actual,30207.0,21,106,42521,224556,0.0379,-0.0073,0.0452
uso_actual,30211.0,0,127,2552,264525,-0.2014,0.0018,-0.2031
uso_actual,30212.0,2,125,1765,265312,0.8683,-0.0092,0.8776
uso_actual,30213.0,20,107,39703,227374,0.0577,-0.0104,0.0681
uso_actual,30214.0,0,127,15,267062,4.9352,-0.0078,4.943
uso_actual,30230.0,0,127,68,267009,3.4238,-0.0076,3.4313
geologia,1.0,1,126,13888,253189,-1.8877,0.0455,-1.9332
geologia,2.0,42,85,34871,232206,0.9294,-0.2616,1.191
geologia,3.0,30,97,108052,159025,-0.5381,0.249,-0.7871
geologia,4.0,15,112,28830,238247,0.09,-0.0115,0.1014
geologia,5.0,1,126,2219,264858,-0.0537,0.0004,-0.0541
geologia,6.0,38,89,79217,187860,0.0087,-0.0037,0.0125
geomorfologia,1.0,41,86,29706,237371,1.0656,-0.2719,1.3375
geomorfologia,2.0,6,121,20608,246469,-0.4906,0.0319,-0.5225
geomorfologia,3.0,4,123,21408,245669,-0.9341,0.0515,-0.9857
geomorfologia,4.0,4,123,18387,248690,-0.782,0.0393,-0.8213
geomorfologia,5.0,14,113,22165,244912,0.2839,-0.0302,0.3141
geomorfologia,6.0,10,117,31424,235653,-0.4016,0.0432,-0.4448
geomorfologia,7.0,1,126,5474,261603,-0.9567,0.0128,-0.9695
geomorfologia,8.0,0,127,2618,264459,-0.2269,0.002,-0.2289
geomorfologia,9.0,19,108,62284,204793,-0.4439,0.1035,-0.5474
geomorfologia,10.0,19,108,25642,241435,0.4436,-0.0611,0.5047
geomorfologia,11.0,2,125,2795,264282,0.4087,-0.0054,0.414
geomorfologia,12.0,7,120,20118,246959,-0.3124,0.0216,-0.334
geomorfologia,13.0,0,127,3407,263670,-0.4903,0.005,-0.4953
geomorfologia,14.0,0,127,542,266535,1.348,-0.0058,1.3538
geomorfologia,15.0,0,127,479,266598,1.4716,-0.006,1.4776
geomorfologia,16.0,0,127,20,267057,4.6475,-0.0078,4.6553
