variable,codigo,n_celdas_raster,pct_area_Ar,n_movimientos,pct_movimientos_Lr,w_n_L_r_sobre_A_r,peso_wc_normalizado
geologia,1.0,13889,5.198,1,0.781,0.1503,0.0599
geologia,2.0,34913,13.066,42,32.812,2.5113,1.0
geologia,3.0,108082,40.449,30,23.438,0.5794,0.2307
geologia,4.0,28845,10.795,16,12.5,1.1579,0.4611
geologia,5.0,2220,0.831,1,0.781,0.9403,0.3744
geologia,6.0,79255,29.661,38,29.688,1.0009,0.3986
geomorfologia,1.0,29747,11.133,41,32.031,2.8772,1.0
geomorfologia,2.0,20614,7.715,6,4.688,0.6076,0.2112
geomorfologia,3.0,21412,8.013,4,3.125,0.39,0.1355
geomorfologia,4.0,18391,6.883,4,3.125,0.454,0.1578
geomorfologia,5.0,22179,8.3,15,11.719,1.4118,0.4907
geomorfologia,6.0,31434,11.764,10,7.812,0.6641,0.2308
geomorfologia,7.0,5475,2.049,1,0.781,0.3813,0.1325
geomorfologia,8.0,2618,0.98,0,0.0,0.0,0.0
geomorfologia,9.0,62303,23.317,19,14.844,0.6366,0.2213
geomorfologia,10.0,25661,9.604,19,14.844,1.5457,0.5372
geomorfologia,11.0,2797,1.047,2,1.562,1.4927,0.5188
geomorfologia,12.0,20125,7.532,7,5.469,0.7261,0.2524
geomorfologia,13.0,3407,1.275,0,0.0,0.0,0.0
geomorfologia,14.0,542,0.203,0,0.0,0.0,0.0
geomorfologia,15.0,479,0.179,0,0.0,0.0,0.0
geomorfologia,16.0,20,0.007,0,0.0,0.0,0.0
cobertura,1.0,79084,29.597,18,14.062,0.4751,0.1664
cobertura,2.0,70722,26.467,58,45.312,1.712,0.5995
cobertura,3.0,731,0.274,1,0.781,2.8557,1.0
cobertura,4.0,41811,15.648,20,15.625,0.9986,0.3497
cobertura,5.0,8974,3.358,5,3.906,1.1631,0.4073
cobertura,6.0,4543,1.7,1,0.781,0.4595,0.1609
cobertura,7.0,12836,4.804,2,1.562,0.3253,0.1139
cobertura,8.0,39723,14.866,20,15.625,1.051,0.368
cobertura,9.0,1767,0.661,2,1.562,2.3628,0.8274
cobertura,10.0,2552,0.955,0,0.0,0.0,0.0
cobertura,11.0,15,0.006,0,0.0,0.0,0.0
cobertura,12.0,68,0.025,0,0.0,0.0,0.0
cobertura,13.0,3742,1.4,1,0.781,0.5579,0.1954
cobertura,14.0,636,0.238,0,0.0,0.0,0.0
uso_actual,30202.0,26353,9.863,8,6.25,0.6337,0.2682
uso_actual,30204.0,83462,31.235,19,14.844,0.4752,0.2011
uso_actual,30206.0,70722,26.467,58,45.312,1.712,0.7246
uso_actual,30207.0,42542,15.921,21,16.406,1.0305,0.4361
uso_actual,30211.0,2552,0.955,0,0.0,0.0,0.0
uso_actual,30212.0,1767,0.661,2,1.562,2.3628,1.0
uso_actual,30213.0,39723,14.866,20,15.625,1.051,0.4448
uso_actual,30214.0,15,0.006,0,0.0,0.0,0.0
uso_actual,30230.0,68,0.025,0,0.0,0.0,0.0
