umbral,TP,FP,TN,FN,TPR,FPR
0.7397230010000001,0,0,128,128,0.0,0.0
0.7397230000000001,1,0,128,127,0.0078125,0.0
0.7097229999999999,2,0,128,126,0.015625,0.0
0.7037230000000001,3,0,128,125,0.0234375,0.0
0.6919460000000001,3,1,127,125,0.0234375,0.0078125
0.6917230000000001,4,1,127,124,0.03125,0.0078125
0.6902650000000001,4,2,126,124,0.03125,0.015625
0.6857230000000001,5,2,126,123,0.0390625,0.015625
0.6737230000000001,6,2,126,122,0.046875,0.015625
0.6703840000000001,7,2,126,121,0.0546875,0.015625
0.6662650000000001,8,2,126,120,0.0625,0.015625
0.663571,9,2,126,119,0.0703125,0.015625
0.6557230000000001,10,2,126,118,0.078125,0.015625
0.6542650000000001,11,2,126,117,0.0859375,0.015625
0.648842,11,3,125,117,0.0859375,0.0234375
0.6476620000000001,11,4,124,117,0.0859375,0.03125
0.639571,12,4,124,116,0.09375,0.03125
0.637385,13,4,124,115,0.1015625,0.03125
0.6362650000000001,13,5,123,115,0.1015625,0.0390625
0.628822,14,5,123,114,0.109375,0.0390625
0.625385,15,5,123,113,0.1171875,0.0390625
0.622384,17,5,123,111,0.1328125,0.0390625
0.619723,20,5,123,108,0.15625,0.0390625
0.613723,22,5,123,106,0.171875,0.0390625
0.6095710000000001,22,6,122,106,0.171875,0.046875
0.605723,24,6,122,104,0.1875,0.046875
0.601723,27,6,122,101,0.2109375,0.046875
0.600265,28,6,122,100,0.21875,0.046875
0.5983030000000001,28,7,121,100,0.21875,0.0546875
0.595723,29,7,121,99,0.2265625,0.0546875
0.595007,29,8,120,99,0.2265625,0.0625
0.593723,31,8,120,97,0.2421875,0.0625
0.592587,32,8,120,96,0.25,0.0625
0.582992,32,9,119,96,0.25,0.0703125
0.582265,33,9,119,95,0.2578125,0.0703125
0.580535,34,9,119,94,0.265625,0.0703125
0.575526,35,9,119,93,0.2734375,0.0703125
0.573571,35,10,118,93,0.2734375,0.078125
0.568535,35,11,117,93,0.2734375,0.0859375
0.565723,37,11,117,91,0.2890625,0.0859375
0.5652949999999999,37,12,116,91,0.2890625,0.09375
0.559723,38,12,116,90,0.296875,0.09375
0.557244,38,13,115,90,0.296875,0.1015625
0.5548219999999999,39,13,115,89,0.3046875,0.1015625
0.5477329999999999,39,14,114,89,0.3046875,0.109375
0.547385,41,14,114,87,0.3203125,0.109375
0.545526,42,14,114,86,0.328125,0.109375
0.5453820000000001,43,14,114,85,0.3359375,0.109375
0.5413970000000001,43,15,113,85,0.3359375,0.1171875
0.5381750000000001,44,15,113,84,0.34375,0.1171875
0.535947,45,15,113,83,0.3515625,0.1171875
0.534842,46,15,113,82,0.359375,0.1171875
0.5337440000000001,46,16,112,82,0.359375,0.125
0.533526,47,16,112,81,0.3671875,0.125
0.529385,48,16,112,80,0.375,0.125
0.5280950000000001,48,17,111,80,0.375,0.1328125
0.527526,49,17,111,79,0.3828125,0.1328125
0.5271950000000001,49,18,110,79,0.3828125,0.140625
0.526466,49,19,109,79,0.3828125,0.1484375
0.525675,50,19,109,78,0.390625,0.1484375
0.5255259999999999,51,19,109,77,0.3984375,0.1484375
0.523295,52,19,109,76,0.40625,0.1484375
0.5210720000000001,52,20,108,76,0.40625,0.15625
0.5204610000000001,52,21,107,76,0.40625,0.1640625
0.519072,52,22,106,76,0.40625,0.171875
0.5177329999999999,52,23,105,76,0.40625,0.1796875
0.516443,52,24,104,76,0.40625,0.1875
0.5164380000000002,53,24,104,75,0.4140625,0.1875
0.516438,55,24,104,73,0.4296875,0.1875
0.515714,55,25,103,73,0.4296875,0.1953125
0.5150720000000001,56,25,103,72,0.4375,0.1953125
0.514046,57,25,103,71,0.4453125,0.1953125
0.514023,57,26,102,71,0.4453125,0.203125
0.512687,57,27,101,71,0.4453125,0.2109375
0.5110070000000001,57,29,99,71,0.4453125,0.2265625
0.5104380000000001,58,29,99,70,0.453125,0.2265625
0.510213,58,30,98,70,0.453125,0.234375
0.508023,58,31,97,70,0.453125,0.2421875
0.5079920000000001,59,31,97,69,0.4609375,0.2421875
0.506217,60,31,97,68,0.46875,0.2421875
0.504881,60,32,96,68,0.46875,0.25
0.5038370000000001,61,32,96,67,0.4765625,0.25
0.503526,62,32,96,66,0.484375,0.25
0.502023,62,33,95,66,0.484375,0.2578125
0.5019920000000001,62,34,94,66,0.484375,0.265625
0.501675,64,34,94,64,0.5,0.265625
0.499844,64,35,93,64,0.5,0.2734375
0.4984430000000001,65,35,93,63,0.5078125,0.2734375
0.49772299999999997,67,35,93,61,0.5234375,0.2734375
0.49524500000000005,67,36,92,61,0.5234375,0.28125
0.49468700000000004,69,36,92,59,0.5390625,0.28125
0.493723,69,38,90,59,0.5390625,0.296875
0.49339700000000003,70,38,90,58,0.546875,0.296875
0.4932950000000001,70,39,89,58,0.546875,0.3046875
0.49300700000000003,70,40,88,58,0.546875,0.3125
0.492213,70,41,87,58,0.546875,0.3203125
0.4918890000000001,70,42,86,58,0.546875,0.328125
0.488756,71,42,86,57,0.5546875,0.328125
0.48868700000000015,71,43,85,57,0.5546875,0.3359375
0.4878440000000001,71,44,84,57,0.5546875,0.34375
0.487385,73,44,84,55,0.5703125,0.34375
0.485723,74,44,84,54,0.578125,0.34375
0.48571400000000015,74,45,83,54,0.578125,0.3515625
0.48571400000000003,74,46,82,54,0.578125,0.359375
0.4851950000000001,74,47,81,54,0.578125,0.3671875
0.482384,75,47,81,53,0.5859375,0.3671875
0.481802,75,48,80,53,0.5859375,0.375
0.4817330000000001,75,49,79,53,0.5859375,0.3828125
0.481385,76,49,79,52,0.59375,0.3828125
0.48044300000000006,77,49,79,51,0.6015625,0.3828125
0.47972299999999996,78,49,79,50,0.609375,0.3828125
0.479463,78,50,78,50,0.609375,0.390625
0.479422,79,50,78,49,0.6171875,0.390625
0.47916499999999995,79,51,77,49,0.6171875,0.3984375
0.47907200000000005,79,52,76,49,0.6171875,0.40625
0.47802300000000003,80,52,76,48,0.625,0.40625
0.47724500000000003,80,53,75,48,0.625,0.4140625
0.475733,80,54,74,48,0.625,0.421875
0.475397,80,55,73,48,0.625,0.4296875
0.474213,80,56,72,48,0.625,0.4375
0.47396600000000005,81,56,72,47,0.6328125,0.4375
0.47383700000000006,82,56,72,46,0.640625,0.4375
0.47316500000000006,82,57,71,46,0.640625,0.4453125
0.46980200000000005,82,58,70,46,0.640625,0.453125
0.46957099999999996,83,58,70,45,0.6484375,0.453125
0.4693970000000001,83,59,69,45,0.6484375,0.4609375
0.466023,84,59,69,44,0.65625,0.4609375
0.463385,86,59,69,42,0.671875,0.4609375
0.463295,87,59,69,41,0.6796875,0.4609375
0.4620950000000001,88,59,69,40,0.6875,0.4609375
0.45772300000000005,89,59,69,39,0.6953125,0.4609375
0.45744299999999993,90,59,69,38,0.703125,0.4609375
0.457331,90,61,67,38,0.703125,0.4765625
0.45688100000000004,91,61,67,37,0.7109375,0.4765625
0.455952,93,61,67,35,0.7265625,0.4765625
0.45516499999999993,93,62,66,35,0.7265625,0.484375
0.45307699999999995,93,63,65,35,0.7265625,0.4921875
0.45155100000000004,93,64,64,35,0.7265625,0.5
0.45044300000000004,93,65,63,35,0.7265625,0.5078125
0.45021300000000003,93,66,62,35,0.7265625,0.515625
0.449526,94,66,62,34,0.734375,0.515625
0.4491410000000001,94,67,61,34,0.734375,0.5234375
0.4485349999999999,95,67,61,33,0.7421875,0.5234375
0.44566400000000006,96,67,61,32,0.75,0.5234375
0.4453970000000001,96,68,60,32,0.75,0.53125
0.444721,96,69,59,32,0.75,0.5390625
0.44438599999999995,97,69,59,31,0.7578125,0.5390625
0.44421299999999997,97,70,58,31,0.7578125,0.546875
0.4440950000000001,98,70,58,30,0.765625,0.546875
0.44409499999999996,99,70,58,29,0.7734375,0.546875
0.443385,100,70,58,28,0.78125,0.546875
0.441992,101,70,58,27,0.7890625,0.546875
0.44085300000000005,101,71,57,27,0.7890625,0.5546875
0.4384410000000001,101,72,56,27,0.7890625,0.5625
0.4373820000000001,102,72,56,26,0.796875,0.5625
0.4368930000000001,103,73,55,25,0.8046875,0.5703125
0.436438,104,73,55,24,0.8125,0.5703125
0.4360230000000001,104,74,54,24,0.8125,0.578125
0.4352450000000001,105,74,54,23,0.8203125,0.578125
0.4333970000000001,105,75,53,23,0.8203125,0.5859375
0.43329500000000004,105,77,51,23,0.8203125,0.6015625
0.431952,106,77,51,22,0.828125,0.6015625
0.430023,107,77,51,21,0.8359375,0.6015625
0.426842,108,77,51,20,0.84375,0.6015625
0.426707,108,78,50,20,0.84375,0.609375
0.4240230000000001,108,79,49,20,0.84375,0.6171875
0.422593,108,80,48,20,0.84375,0.625
0.42190500000000003,109,80,48,19,0.8515625,0.625
0.42184400000000005,109,81,47,19,0.8515625,0.6328125
0.42133099999999996,109,82,46,19,0.8515625,0.640625
0.419952,110,82,46,18,0.859375,0.640625
0.41952599999999995,111,82,46,17,0.8671875,0.640625
0.4185930000000001,111,83,45,17,0.8671875,0.6484375
0.418535,111,84,44,17,0.8671875,0.65625
0.4180230000000001,111,85,43,17,0.8671875,0.6640625
0.41685300000000003,111,86,42,17,0.8671875,0.671875
0.41629100000000013,111,88,40,17,0.8671875,0.6875
0.415733,112,88,40,16,0.875,0.6875
0.413141,113,88,40,15,0.8828125,0.6875
0.4110710000000001,113,89,39,15,0.8828125,0.6953125
0.410283,113,90,38,15,0.8828125,0.703125
0.40933099999999994,114,90,38,14,0.890625,0.703125
0.409295,114,91,37,14,0.890625,0.7109375
0.408842,114,92,36,14,0.890625,0.71875
0.407837,114,93,35,14,0.890625,0.7265625
0.40716499999999994,114,94,34,14,0.890625,0.734375
0.406572,114,95,33,14,0.890625,0.7421875
0.40599199999999996,114,96,32,14,0.890625,0.75
0.4045930000000001,114,97,31,14,0.890625,0.7578125
